parameter,EV sales,,,,,,,,,,,,,,,
category,Historical,,,,,,,,,,,,,,,
powertrain,BEV,,,,,,,,,,,,,,,
Aggregate group,(Multiple Items),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sum of value,,year,,,,,,,,,,,,,,
mode,region_country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cars,Africa,,,, 34 , 14 , 120 , 100 , 72 , 100 , 290 , 220 , 900 ," 2,100 "," 3,100 "," 8,400 "
,Middle East and Caspian,, 41 , 49 ,,, 110 , 350 , 350 , 300 , 720 ," 1,300 "," 3,400 "," 3,600 "," 10,000 "," 37,000 "
,North America," 1,200 "," 9,800 "," 15,000 "," 48,000 "," 63,000 "," 71,000 "," 87,000 "," 100,000 "," 240,000 "," 240,000 "," 230,000 "," 470,000 "," 800,000 "," 1,100,000 "," 1,300,000 "
,Europe," 1,700 "," 11,000 "," 19,000 "," 33,000 "," 62,000 "," 89,000 "," 93,000 "," 140,000 "," 200,000 "," 360,000 "," 750,000 "," 1,200,000 "," 1,600,000 "," 2,200,000 "," 2,200,000 "
,Asia Pacific," 4,100 "," 19,000 "," 24,000 "," 31,000 "," 68,000 "," 160,000 "," 280,000 "," 510,000 "," 910,000 "," 900,000 "," 990,000 "," 2,900,000 "," 4,800,000 "," 6,000,000 "," 7,000,000 "
,World," 7,000 "," 40,000 "," 58,000 "," 110,000 "," 200,000 "," 330,000 "," 470,000 "," 760,000 "," 1,400,000 "," 1,500,000 "," 2,000,000 "," 4,700,000 "," 7,300,000 "," 9,500,000 "," 11,000,000 "
